name,author,price,original price,pages,publisher,publish type,publish date,available numbers,detail_url
The Complete Guide to Beekeeping for Fun & Profit: Everything You Need to Know Explained Simply,"
Belknap,Cindy",19.87,26.53,1120,MCGRAW HILL/GLENCOE DIVISION  ,Paperback,29/07/2015,['12 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781601383624
Cpg Residential Repair & Remodeling Costs with Rsmeans Data: 60349,"
Rsmeans",108.66,136.0,672,STOREY PUB                    ,Paperback,29/11/2016,['17 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781946872692
Humane Livestock Handling: Understanding Livestock Behavior and Building Facilities for Healthier Animals,"
Grandin,Temple",33.36,44.54,224,MCGRAW HILL BOOK CO           ,Paperback,08/08/2018,['1 copy available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781603420280
The Big Necessity: The Unmentionable World of Human Waste and Why It Matters,"
George,Rose",24.44,32.64,108,CREATESPACE                   ,Paperback,29/04/2016,['3420 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781250058300
The Lego Boost Activity Book,"
Benedettelli,Daniele",33.88,45.24,768,ESRI PR                       ,Paperback,23/03/2018,['51 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781593279325
The Mechanical Design Process,"
Ullman,DavidG.",88.53,110.81,1664,PRENTICE HALL                 ,Paperback,14/01/2013,[],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780999357804
Life 3.0: Being Human in the Age of Artificial Intelligence,"
Tegmark,Max",26.36,35.2,264,SKYHORSE PUB                  ,Paperback,27/01/2009,[],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781101970317
The Secret Life of Cows,"
Young,Rosamund",27.5,36.72,372,STOREY PUB                    ,Hardcover,01/07/2006,['14 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780525557319
Bringing Columbia Home: The Untold Story of a Lost Space Shuttle and Her Crew,"
Leinbach,Michael",39.12,52.23,92,INSTITUTION OF ENGINEERING & T,Hardcover,30/01/2014,[],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781628728514
First Man: The Life of Neil A. Armstrong,"
Hansen,JamesR.",23.82,31.81,415,SIMON & SCHUSTER              ,Paperback,23/06/2009,['1 copy available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781501153068
Design for the Real World: Human Ecology and Social Change,"
Papanek,Victor",31.58,42.17,144,STOREY PUB                    ,Paperback,28/11/2017,['3 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780897331531
U.S. Army Guide to Boobytraps,"
Army",18.22,24.33,288,MARINER BOOKS                 ,Paperback,12/05/2015,['6615 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781602399402
"Butchering Poultry, Rabbit, Lamb, Goat, and Pork: The Comprehensive Photographic Guide to Humane Slaughtering and Butchering","
Danforth,Adam",62.16,77.8,368,CHELSEA GREEN PUB CO          ,Hardcover,30/10/2018,['11 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781612121888
U.S. Army Improvised Munitions Handbook,"
Army",17.61,23.52,0,PEARSON EDUC                  ,Paperback,16/06/2017,[],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781684112739
"The Cattle Health Handbook: Preventive Care, Disease Treatments & Emergency Procedures for Promoting the Well-Being of Your Beef or Dairy Herd","
Thomas,HeatherSmith",51.98,65.06,122,DOVER PUBN INC                ,Paperback,15/08/2005,['39 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781603420907
DIY Lithium Batteries: How to Build Your Own Battery Packs,"
Toll,Micah",31.36,41.87,256,OXFORD UNIV PR                ,Paperback,25/01/2016,['2 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780989906708
"The Natural Superiority of Mules: A Celebration of One of the Most Intelligent, Sure-Footed, and Misunderstood Animals in the World","
Hauer,John",49.3,61.71,64,HOUGHTON MIFFLIN              ,Paperback,24/11/2015,['4 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781634507868
"Ugly's Electrical References, 2017 Edition","
Jones&.BartlettLearning",29.93,39.97,144,CAMBRIDGE UNIV PR             ,Spiral,31/05/2018,['708 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781284119367
"Aircraft Inspection, Repair & Alterations: Acceptable Methods, Techniques & Practices (FAA AC 43.13-1b and 43.13-2b)","
FederalAviationAdministration(FAA)/Av",53.66,67.16,400,LIVERIGHT                     ,Paperback,23/10/2018,[],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781619540217
The Right Stuff,"
Wolfe,Tom",22.81,30.46,304,CHELSEA GREEN PUB CO          ,Paperback,26/09/2018,['51 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780312427566
Who Can You Trust?: How Technology Brought Us Together and Why It Might Drive Us Apart,"
Botsman,Rachel",41.63,55.59,288,ATLANTIC PUB CO (FL)          ,Hardcover,01/06/2010,['12 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781541773677
2019 National Construction Estimator,"
Pray,Richard",116.59,145.93,0,R S MEANS COMPANY INC         ,Paperback,27/11/2018,['32 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781572183438
Dirt to Soil: One Family's Journey Into Regenerative Agriculture,"
Brown,Gabe",25.15,33.59,864,SEQUOIA PUB INC               ,Paperback,01/09/2010,['249 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781603587631
The Complete Guide to High-End Audio,"
Harley,Robert",63.3,79.23,256,UNIV OF CHICAGO PR            ,Paperback,21/09/2018,[],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780978649364
The Great Bridge,"
McCullough,David",29.29,39.11,384,RANDOM HOUSE INC              ,Paperback,03/04/2018,['17 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780671457112
Art Craft Natural Dyeing: Traditional Recipes Modern Use,"
Liles,J.N.",32.89,43.92,302,RUTGERS UNIV PR               ,Paperback,23/05/2018,[],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780870496707
The Art of Lego Mindstorms EV3 Programming,"
Griffin,Terry",48.13,60.24,256,UNIV OF CHICAGO PR            ,Paperback,11/10/2018,[],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781593275686
"U.S. Army Survival Manual FM 21-76 (Survival, Evasion, and Recovery)","
DepartmentofDefense",12.07,16.12,264,NO STARCH PR                  ,Paperback,25/09/2018,['24 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781420957761
"Machinery's Handbook, Toolbox Edition","
Oberg,Erik",205.57,257.29,582,PENGUIN GROUP                 ,Hardcover,01/06/1993,['26 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780831130916
Flawless: Understanding Faults in Wine,"
Goode,Jamie",47.96,60.03,272,MARINER BOOKS                 ,Hardcover,17/03/2015,['94 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780520276901
Robot Ethics: The Ethical and Social Implications of Robotics,"
Lin,Patrick",64.02,80.13,416,HARPER COLLINS                ,Paperback,08/05/2018,['1 copy available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780262526005
"Master Handbook of Acoustics, Sixth Edition","
Everest,F.Alton",61.37,76.82,1056,MCGRAW HILL BOOK CO           ,Paperback,24/03/2016,['4 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780071841047
Fluid Power: Hydraulics and Pneumatics [With CD (Audio)],"
Daines,JamesR.",310.2,388.24,308,CORNELL UNIV PR               ,Paperback,13/05/2011,['4761 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781605259314
"GM Full-Size Trucks, 1980-87","
ChiltonAutomotiveBooks",63.16,79.06,240,QUARRY                        ,Paperback,02/01/2018,['47 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780801985775
