name,author,price,original price,pages,publisher,publish type,publish date,available numbers,detail_url
['KJV Large Print Lux-Leather Brown/Pink'],"
",39.14,46.11,2226,['HOLMAN A J                    '],Imitation,15/04/2017,['226 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781432117528
"['Niv, Adventure Bible, Polar Exploration Edition, Hardcover, Full Color']","
Zondervan",47.66,56.14,1408,['WORLD BIBLE PUB CO            '],Hardcover,27/05/2011,['44 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780310765059
"['Bible for Teen Girls-NIV: Growing in Faith, Hope, and Love']","
Zondervan",48.12,56.68,1104,['TYNDALE HOUSE PUBL            '],Hardcover,01/03/2016,['23 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780310749691
"['NKJV, Gift and Award Bible, Leather-Look, Blue, Red Letter Edition']","
ThomasNelson",15.39,18.13,906,['NAV PR                        '],Imitation,04/10/2016,['226 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780718075156
['Message Remix 2.0-MS'],"
Peterson,EugeneH.",57.28,67.47,810,['TYNDALE HOUSE PUBL            '],Imitation,01/03/2006,[],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781615219247
['Apocrypha-KJV'],"
CambridgeUniversityPress",17.45,20.56,0,['CHRISTIAN ART GIFTS           '],Hardcover,01/10/2012,[],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780521506748
['One Year Chronological Bible-NLT'],"
Tyndale",39.12,46.08,1104,['TYNDALE HOUSE PUBL            '],Paperback,01/03/2016,['20 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781414314082
"['NKJV, Value Thinline Bible, Standard Print, Imitation Leather, Pink, Red Letter Edition']","
ThomasNelson",28.32,33.36,1066,['CROSSWAY BOOKS                '],Imitation,30/09/2015,['3 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780718074449
['The Message Promise Book (Softcover)'],"
Peterson,EugeneH.",7.13,8.4,363,['AMER BIBLE SOC                '],Paperback,01/05/2010,['190 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781615211081
['Saint Joseph Vest Pocket New Testament-NCV'],"
CatholicBookPublishingCo",14.01,16.51,2226,['HOLMAN A J                    '],Paperback,15/04/2017,['423 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780899426501
