name,author,price,original price,pages,publisher,publish type,publish date,available numbers,detail_url
['Tales of Moonlight and Rain'],"
Ueda,Akinari",67.12,79.06,166,['LIGHTNING SOURCE INC          '],Paperback,01/10/2018,[],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780231139137
['The Iliad: A New Translation by Peter Green'],"
Homer",47.84,56.35,1122,['EVERYMANS LIBRARY             '],Hardcover,17/10/2006,['9 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780520281417
['The Burden: African Americans and the Enduring Impact of Slavery'],"
Riley,Rochelle",44.01,51.84,192,['PERENNIAL                     '],Hardcover,22/01/2019,['20 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780814345146
['Attention: Dispatches from a Land of Distraction'],"
Cohen,Joshua",43.12,50.8,240,['ECCO                          '],Hardcover,16/10/2018,['29 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780399590214
['Complete Essays of Montaigne'],"
Montaigne,MichelEyquem",72.42,85.31,118,['KESSINGER PUB LLC             '],Paperback,10/09/2010,['136 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780804704861
['The Waste Books'],"
Lichtenberg,GeorgChristoph",27.12,33.95,248,['LITTLE TOLLER BOOKS           '],Paperback,21/10/2010,[],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780940322509
['After/Image: Los Angeles Outside the Frame'],"
George,Lynell",44.69,52.65,264,['OXMOOR HOUSE INC              '],Hardcover,15/05/2018,['39 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781626400535
['Barking with the Big Dogs: On Writing and Reading Books for Children'],"
Babbitt,Natalie",39.12,46.08,304,['GIBBS SMITH PUB               '],Hardcover,02/08/2016,['29 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780374310400
['Complete Writings'],"
Wheatley,Phillis",20.61,25.8,288,['FARRAR STRAUS & GIROUX        '],Paperback,02/10/2018,['218 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780140424300
['Essays'],"
Orwell,George",71.9,84.69,288,['BLACK DOG & LEVENTHAL         '],Hardcover,21/08/2018,['116 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780375415036
"[""Van Gogh's Letters: The Mind of the Artist in Paintings, Drawings, and Words, 1875-1890""]","
Suh,H.Anna",42.38,49.92,336,['MARINER BOOKS                 '],Paperback,02/10/2018,['189 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781579128593
['The Harvest Gypsies'],"
Steinbeck,John",13.01,16.29,263,['GIBBS SMITH PUB               '],Paperback,01/04/2011,['2900 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781890771614
['Letters to a Young Poet'],"
Rilke,RainerMaria",13.54,16.95,256,['FARRAR STRAUS & GIROUX        '],Mass,13/11/2018,['57 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780394741048
['Mile High Stories: 25 Years of Our Best Writing'],"
5280",29.36,36.75,192,['PENGUIN PR                    '],Paperback,11/10/2016,['121 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781917895064
"[""The Collected Letters of Flann O'Brien""]","
O'Brien,Flann",41.55,48.94,272,['BALLANTINE BOOKS              '],Paperback,30/10/2018,['5 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781628971835
"['Children & Other Wild Animals: Notes on Badgers, Otters, Sons, Hawks, Daughters, Dogs, Bears, Air, Bobcats, Fishers, Mascots, Charles Darwin, Newts,']","
Doyle,Brian",24.36,30.5,592,['W W NORTON & CO INC           '],Paperback,06/11/2018,['49 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780870717543
"['Essayism: On Form, Feeling, and Nonfiction']","
Dillon,Brian",21.06,26.37,169,['GRAY WOLF PR                  '],Paperback,07/10/2014,['114 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781681372822
['Iron Curtain Journals: January-May 1965'],"
Ginsberg,Allen",44.64,52.58,166,['HAYMARKET BOOKS               '],Hardcover,04/09/2018,['140 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780816699599
['La Vita Nuova'],"
Alighieri,Dante",16.09,20.15,224,['GRAY WOLF PR                  '],Paperback,05/02/2019,[],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780140449471
['Feel Free: Essays'],"
Smith,Zadie",24.98,31.27,120,['DA CAPO PR                    '],Paperback,02/03/2005,[],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780143110255
['The Pushcart Prize XLIII: Best of the Small Presses 2019 Edition'],"
Henderson,Bill",28.99,36.29,288,['MARINER BOOKS                 '],Paperback,17/04/2018,['34 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781888889895
"[""Nasty Women: Feminism, Resistance, and Revolution in Trump's America""]","
Harding,Kate",23.56,29.49,336,['MARINER BOOKS                 '],Paperback,03/10/2017,['478 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781250155504
['Nonrequired Reading: Prose Pieces'],"
Szymborska,Wislawa",45.82,53.97,128,['COFFEE HOUSE PR               '],Hardcover,04/04/2017,['108 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780151006601
['The Blind Owl (Authorized by the Sadegh Hedayat Foundation - First Translation Into English Based on the Bombay Edition)'],"
Hedayat,Sadegh",15.62,19.55,336,['MARINER BOOKS                 '],Paperback,02/10/2018,['98 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9789186131449
['The Moth Presents Occasional Magic: True Stories about Defying the Impossible'],"
Burns,Catherine",44.76,52.73,240,['FARRAR STRAUS & GIROUX        '],Hardcover,13/11/2018,['303 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781101904428
