name,author,price,original price,pages,publisher,publish type,publish date,available numbers,detail_url
"[""Socrates' Children: Contemporary: The 100 Greatest Philosophers""]","
Kreeft,Peter",54.73,64.47,288,['PRINCETON UNIV PR             '],Paperback,04/10/2016,['21 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781587317866
['Free Will'],"
Harris,Sam",16.32,19.23,160,['OXFORD UNIV PR                '],Paperback,01/12/2008,['11 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781451683400
['The Common Good'],"
Reich,RobertB.",20.74,24.44,308,['FARRAR STRAUS & GIROUX        '],Paperback,17/08/2010,['207 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780525436379
['Big Ideas: The Little Book of Psychology'],"
DK",18.01,21.22,824,['BASIC BOOKS                   '],Paperback,05/02/1999,['19 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781465476548
['The Analects'],"
Confucius",16.82,19.82,211,['DUKE UNIV PR                  '],Paperback,12/08/2011,['89 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780140443486
['On the Shortness of Life: Life Is Long If You Know How to Use It'],"
Seneca",17.06,20.1,384,['BASIC BOOKS                   '],Paperback,11/02/1994,['17 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780143036326
"[""Let's Talk about Love: Why Other People Have Such Bad Taste""]","
Wilson,Carl",65.89,77.61,252,['MUSEUM OF CONTEMPORARY ART KIA'],Paperback,28/11/2018,['98 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781441166777
['The Ghost in the Machine'],"
Koestler,Arthur",43.24,50.94,240,['UNIV OF MINNESOTA PR          '],Paperback,23/09/2013,['16 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781939438348
"['Neptune, the 12th House, and Pisces - 2nd Edition: The Timelessness of Truth']","
Fernandez,Maurice",37.96,44.72,896,['HARVARD UNIV PR               '],Paperback,17/09/2018,['30 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781732309609
['The Soul of the World'],"
Scruton,Roger",24.42,28.77,185,['PERENNIAL                     '],Paperback,28/07/2009,['21 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780691169286
