name,author,price,original price,pages,publisher,publish type,publish date,available numbers,detail_url
['The End of Ice: Bearing Witness and Finding Meaning in the Path of Climate Disruption'],"
Jamail,Dahr",41.97,49.44,344,['RIVERHEAD                     '],Hardcover,04/10/2011,['9 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781620972342
['Behave: The Biology of Humans at Our Best and Worst'],"
Sapolsky,RobertM.",31.55,37.17,224,['BANTAM DELL                   '],Paperback,01/09/1998,['68 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780143110910
['On the Future: Prospects for Humanity'],"
Rees,Martin",27.04,31.85,480,['PRINCETON UNIV PR             '],Hardcover,29/09/2016,['69 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780691180441
['A Brief History of Time: And Other Essays'],"
Hawking,Stephen",48.08,56.64,320,['MILKWEED ED                   '],Hardcover,12/06/2018,[],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780553109535
['Honeybee Democracy'],"
Seeley,ThomasD.",47.16,55.55,256,['PENGUIN GROUP                 '],Hardcover,18/04/2017,[],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780691147215
"['Cliffsnotes Anatomy & Physiology Quick Review, 2ndedition']","
Bassett,Steven",18.31,21.57,304,['BASIC BOOKS                   '],Paperback,12/06/2018,['37 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780470878743
"['The Big Picture: On the Origins of Life, Meaning, and the Universe Itself']","
Carroll,Sean",25.75,30.34,568,['MIT PR                        '],Paperback,13/11/2018,[],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781101984253
['Qed: The Strange Theory of Light and Matter'],"
Feynman,RichardP.",25.48,30.02,336,['UNIV OF CHICAGO PR            '],Paperback,18/10/2016,['201 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780691164090
"['Did You Just Eat That?: Two Scientists Explore Double-Dipping, the Five-Second Rule, and Other Food Myths in the Lab']","
Dawson,Paul",35.33,41.62,304,['FARRAR STRAUS & GIROUX        '],Hardcover,28/08/2018,['32 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780393609752
['A Short History of Nearly Everything'],"
Bryson,Bill",48.11,56.67,256,['HOUGHTON MIFFLIN              '],Hardcover,19/02/2019,['275 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780767908177
['The Selfish Gene: 40th Anniversary Edition'],"
Dawkins,Richard",24.45,28.8,256,['RIVERHEAD                     '],Paperback,08/05/2018,['10 copies available'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780198788607
